Aaden has 	 fav team: Cardinals 	 RedSox friends: 47 	 Cardinals friends: 18
Elsie has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 40
Elyse has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 57
Emanuel has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 54
Ember has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 29
Emelia has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 26
Emely has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 56
Emerson has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 25
Emersyn has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 25
Emery has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 19
Emilee has 	 fav team: Red Sox 	 RedSox friends: 63 	 Cardinals friends: 37
Emilia has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 38
Emiliano has 	 fav team: Cardinals 	 RedSox friends: 17 	 Cardinals friends: 53
Emilie has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 33
Emilio has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 45
Emily has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 34
Emma has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 54
Emmalee has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 26
Emmaline has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 27
Emmalyn has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 33
Emmalynn has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 54
Emmanuel has 	 fav team: Cardinals 	 RedSox friends: 17 	 Cardinals friends: 39
Emmett has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 17
Emmitt has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 53
Emmy has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 31
Emory has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 33
Enrique has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 56
Enzo has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 44
Eric has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 26
Erica has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 37
Erick has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 32
Erik has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 49
Erika has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 44
Erin has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 29
Ernest has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 44
Ernesto has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 61
Esme has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 25
Esmeralda has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 50
Esteban has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 29
Estella has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 28
Estelle has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 39
Esther has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 44
Estrella has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 26
Ethan has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 21
Eugene has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 51
Eva has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 29
Evalyn has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 50
Evan has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 36
Evangeline has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 56
Eve has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 32
Evelyn has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 23
Evelynn has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 25
Everett has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 53
Everly has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 41
Evie has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 35
Ezekiel has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 56
Ezequiel has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 32
Ezra has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 45
Fabian has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 48
Faith has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 36
Farrah has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 36
Fatima has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 46
Felicity has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 51
Felipe has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 37
Felix has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 41
Fernanda has 	 fav team: Cardinals 	 RedSox friends: 18 	 Cardinals friends: 51
Fernando has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 52
Finley has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 22
Finn has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 35
Finnegan has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 42
Fiona has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 31
Fisher has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 50
Fletcher has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 52
Flynn has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 21
Foster has 	 fav team: Cardinals 	 RedSox friends: 38 	 Cardinals friends: 40
Frances has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 21
Francesca has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 51
Francis has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 54
Francisco has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 28
Franco has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 48
Frank has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 33
Frankie has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 33
Franklin has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 33
Freddy has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 43
Frederick has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 38
Gabriel has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 33
Gabriela has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 30
Gabriella has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 38
Gabrielle has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 25
Gael has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 26
Gage has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 40
Gaige has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 29
Galilea has 	 fav team: Cardinals 	 RedSox friends: 43 	 Cardinals friends: 66
Garrett has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 44
Gary has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 30
Gauge has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 43
Gavin has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 34
Gavyn has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 28
Gemma has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 53
Genesis has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 27
Genevieve has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 29
George has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 27
Georgia has 	 fav team: Red Sox 	 RedSox friends: 34 	 Cardinals friends: 28
Gerald has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 29
Geraldine has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 24
Gerardo has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 28
Gia has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 22
Giada has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 27
Giana has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 24
Giancarlo has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 45
Gianna has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 26
Gianni has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 52
Gibson has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 26
Gideon has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 24
Gilbert has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 33
Gilberto has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 38
Giovani has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 59
Giovanna has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 21
Giovanni has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 33
Giovanny has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 23
Giselle has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 30
Gisselle has 	 fav team: Cardinals 	 RedSox friends: 22 	 Cardinals friends: 44
Giuliana has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 26
Gloria has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 30
Grace has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 28
Gracelyn has 	 fav team: Cardinals 	 RedSox friends: 16 	 Cardinals friends: 58
Gracelynn has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 36
Gracie has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 29
Grady has 	 fav team: Cardinals 	 RedSox friends: 18 	 Cardinals friends: 52
Graeme has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 46
Graham has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 54
Grant has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 27
Graysen has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 49
Grayson has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 35
Gregory has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 41
Greta has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 33
Greyson has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 33
Griffin has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 53
Guadalupe has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 53
Guillermo has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 49
Gunnar has 	 fav team: Red Sox 	 RedSox friends: 36 	 Cardinals friends: 31
Gunner has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 28
Gustavo has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 47
Gwendolyn has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 32
Hadassah has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 55
Hadley has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 14
Hailee has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 52
Hailey has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 54
Haleigh has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 29
Haley has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 43
Halle has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 43
Hallie has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 53
Hamza has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 53
Hana has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 54
Hank has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 24
Hanna has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 47
Hannah has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 30
Harlee has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 36
Harley has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 61
Harlow has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 41
Harmony has 	 fav team: Red Sox 	 RedSox friends: 34 	 Cardinals friends: 28
Harold has 	 fav team: Cardinals 	 RedSox friends: 43 	 Cardinals friends: 53
Harper has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 31
Harrison has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 49
Harry has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 52
Harvey has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 28
Hassan has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 53
Hattie has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 25
Haven has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 46
Hayden has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 55
Hayes has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 48
Haylee has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 28
Hayleigh has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 26
Hayley has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 34
Haylie has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 34
Hazel has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 41
Heath has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 25
Heather has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 63
Heaven has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 43
Hector has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 25
Heidi has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 47
Helen has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 23
Helena has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 30
Hendrix has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 49
Henry has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 33
Hezekiah has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 36
Holden has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 44
Holly has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 52
Hope has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 29
Houston has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 27
Howard has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 33
Hudson has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 48
Hugh has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 31
Hugo has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 48
Hunter has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 21
Ian has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 29
Ibrahim has 	 fav team: Red Sox 	 RedSox friends: 34 	 Cardinals friends: 37
Ignacio has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 57
Iker has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 45
Iliana has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 29
Imani has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 53
Immanuel has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 34
Ingrid has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 23
Irene has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 43
Iris has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 20
Isaac has 	 fav team: Cardinals 	 RedSox friends: 13 	 Cardinals friends: 55
Isabel has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 47
Isabela has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 28
Isabella has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 30
Isabelle has 	 fav team: Cardinals 	 RedSox friends: 42 	 Cardinals friends: 46
Isai has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 30
Isaiah has 	 fav team: Cardinals 	 RedSox friends: 38 	 Cardinals friends: 50
Isaias has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 46
Ishaan has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 38
Isiah has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 50
Isis has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 34
Isla has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 52
Ismael has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 23
Israel has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 26
Issac has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 33
Itzel has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 28
Ivan has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 25
Ivanna has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 30
Ivy has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 50
Izabella has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 25
Izabelle has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 32
Izaiah has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 40
Izayah has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 34
Jabari has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 39
Jace has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 42
Jack has 	 fav team: Red Sox 	 RedSox friends: 63 	 Cardinals friends: 36
Jackson has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 34
Jacob has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 48
Jacoby has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 37
Jacqueline has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 40
Jada has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 58
Jade has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 43
Jaden has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 43
Jadiel has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 34
Jadon has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 25
Jaeden has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 49
Jael has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 28
Jaelyn has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 28
Jaelynn has 	 fav team: Red Sox 	 RedSox friends: 65 	 Cardinals friends: 31
Jagger has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 28
Jaida has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 25
Jaiden has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 40
Jaidyn has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 57
Jaime has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 50
Jairo has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 25
Jakayla has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 21
Jake has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 30
Jakob has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 16
Jalen has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 49
Jaliyah has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 27
Jamal has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 28
Jamar has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 35
Jamari has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 18
Jamarion has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 56
James has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 28
Jameson has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 30
Jamie has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 45
Jamir has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 33
Jamison has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 51
Janae has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 53
Jane has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 28
Janelle has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 37
Janessa has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 31
Janiya has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 48
Janiyah has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 31
Jaqueline has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 50
Jared has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 27
Jarrett has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 51
Jase has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 31
Jasiah has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 25
Jasmin has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 52
Jasmine has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 29
Jason has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 23
Jasper has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 33
Javier has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 29
Javion has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 30
Javon has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 51
Jax has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 24
Jaxen has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 42
Jaxon has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 31
Jaxson has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 26
Jaxton has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 25
Jay has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 56
Jayce has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 42
Jaycee has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 60
Jaycob has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 62
Jayda has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 29
Jayde has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 44
Jayden has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 42
Jaydon has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 25
Jayla has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 30
Jaylah has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 53
Jaylee has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 58
Jayleen has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 36
Jaylen has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 46
Jaylene has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 33
Jaylin has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 22
Jaylon has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 25
Jaylynn has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 39
Jayson has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 60
Jazlyn has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 55
Jazlynn has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 53
Jazmin has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 25
Jazmine has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 40
Jazzlyn has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 44
Jedidiah has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 39
Jefferson has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 23
Jeffery has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 25
Jeffrey has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 26
Jemma has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 26
Jenna has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 28
Jennifer has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 25
Jenny has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 30
Jensen has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 51
Jeremiah has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 30
Jeremy has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 25
Jermaine has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 58
Jerome has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 27
Jerry has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 30
